intro,title
"Every weekday, Brad wakes up at 5 a.m.
to meditate, pray, and read the Bible with his partner before his daily prework
workout and yoga routine. He runs his own successful business, cooks dinner for
his girlfriend every night, eats an alkaline diet, and uses any free time he
has in the evening to meditate or walk his dog. In other words, he lives the
type of life the rest of us only aspire to when crafting our New Year’s
resolutions or wishfully writing a new weekly routine.",The Mythology of Microdosing Continues to Grow. Can Science Catch Up?
During a ,One Size Doesn’t Have to Fit All
"Laurie Santos’s class for Yale undergrads, Psychology and the Good Life—on the science of happiness—became so popular that the registrar had to move it to a larger venue; when she offered it online, 400,000 people signed up; now, she’s made its lessons available as a ",Intro to Happiness: Yale Professor Laurie Santos Brings Popular Course to Podcast
"Anyone who has endured a college reunion knows that there’s a melancholy side to milestones. Marking time has a way of bringing to mind those missing from the celebration, so that every heady ",Pour One Out for Nudge’s Forgotten Peers
"For many people, the global financial crisis eroded trust in corporations and government. There was a double-digit decline in trust of large banks in particular, ",The Paradox of Employee Surveillance
"This article is part two of a two-part feature on neuroscientist Alan Jasanoff’s book, ",Understanding the Biological Mind
"When Jon Jachimowicz saw Adam Davidson’s recent book, ",The Passion Economy: A Conversation with Adam Davidson
The Psych Report,TED All-Stars: Q&A with Dan Gilbert
"It was a chilly Saturday night in April 2016, and hundreds of Princeton University students were getting ready to party. The place: one of the university’s famous eating clubs. They double as both dining halls and social-event spaces, and more than 70 percent of Princeton’s undergraduates are members.",A Fresh Approach to Understanding Sexual Assault: A Conversation with Betsy Levy Paluck
"In March of 2018, Kathleen Colby Dunn performed on the show ",How to Remedy “Better-than-Average” Effects
"Recognition of the powerful pattern
matching ability of humans is growing. As a result, humans are increasingly being
deployed to make decisions that affect the well-being of other humans. We are
starting to see the use of human decision makers in courts, in university
admissions offices, in loan application departments, and in recruitment. Soon
humans will be the primary gateway to many core services.",Principles for the Application of Human Intelligence
"Annie Duke, author of ",Practical Tools for Better Decisions: A Q&A with Annie Duke on How to Decide
What is it about certain moments that deepen our ties to others? The social psychologist Harry T. Reis suggested that our relationships grow stronger when our partners are “responsive” to us. Responsiveness encompasses three things:,Don’t Just Ask “What’s the Matter?” Ask “What Matters to You?”
The Psych Report,Why Not Nudge? A Review of Cass Sunstein’s Why Nudge
The Psych Report,Executive Order Formally Establishes US ‘Nudge Unit’
The Psych Report,The Behavioral Insights Team 5 Years On: A Conversation with Owain Service
The Psych Report,Head of White House “Nudge Unit” Maya Shankar Speaks about Newly Formed Social and Behavioral Sciences Team
The Psych Report,How Can Governments and Businesses Avoid the ‘Big Mistake?’
Americans spend a lot of money on prescription drugs. Drug spending could reach as high as ,Can “Nudge Units” Help Build Better Health Systems?
"For many of us, learning to drive is among the most significant milestones of adolescence. Having grown up in the British countryside, with the only way to escape being the excruciatingly slow, once-per-hour bus to the city, I remember well the sense of freedom when I passed my driving test. I was relatively care-free and confident in my driving, so I took to the country roads as if I was auditioning for a role in ",Can Insurers Encourage Safer Teen Driving?
"This article is part one of a two-part feature on neuroscientist Alan Jasanoff’s book, ",Your Brain Is Neither Computer Nor CEO
"During Pride month, gay and straight people alike wonder and debate whether, when, and how non-LGBTQ folks can participate in the festivities. It raises the question: When a non-minority enters a minority space, such as a straight patron at a Pride parade or in a gay bar, where is the sociological fine line between intruder and guest?",How Not to “Take Up Space” While Taking Up Space
"Brad Stulberg is a writer, performance coach, and coauthor (with Steve Magness) of an intriguing new book on the role of passion at the workplace in beyond—specifically, the ways in which it can be a double-edged sword. The book, ",The Passion Paradox: A Conversation with Brad Stulberg﻿
“1 in 5” is one of the most ,What the Origins of the “1 in 5” Statistic Teaches Us About Sexual Assault Policy
"There’s been a recent boom in applying behavioral science to public policy. Although it started with federal-level efforts, like the Behavioral Insights Team in the United Kingdom and the Social Behavioral Sciences Team in the United States, cities have increasingly been getting in on the act. Here in Philadelphia, we focus on bringing together city officials, local academic leaders, and community organizations to deliver better services for our residents and businesses.",Lessons from Building a Behavioral Science Initiative in City Government
"In the cascade of sexual-harassment allegations now coming to light, a central question has emerged: Why did so few speak up before?",The “Reasonable” Way to Respond to Being Sexually Harassed
New York Times,"To Solve Problems Before They Happen, You Need to Unite the Right People"
"When I first stepped onto my community-college campus, I was overwhelmed. Staring at the course catalogue, I ran through the seemingly infinite number of class combinations I could arrange around my two part-time jobs. I struggled to determine the sequence of classes that would satisfy my major, graduation, ",Building Better Community Colleges through Behavioral Science
"The police were concerned. They had investigated diversity in their large U.K. force and discovered that when female officers and staff reflected on their time being pregnant, only 39 percent felt supported by their managers.",What We Learned By Failing to Make Work Better for Female Staff
"Behavioral scientists take pride in the interdisciplinary nature of our research, yet we rarely draw on accounts of human nature generated outside of the social sciences. Just like Horatio, we could benefit from taking Hamlet’s advice to look beyond our usual frame of reference.",A Tale of Two Systems: What Can Behavioral Science Learn From Literature?
"
- Herman Melville, ","A Tale of Two Systems: 19th Century Behavioral Insights From Poe, Austen, and Dickens"
"—Daniel Kahneman, quoted in ",Early Edutainment: The Behavioral Scientist’s Guide to Fairy Tales
"It’s 2 a.m. a few weeks into COVID-19 lockdown in England. A mum is online trying to claim a set of £15 government school-meals vouchers for low-income families. With schools closed across the country, low-income families who normally rely on the free school lunch program are suddenly facing an additional expense that they might not be able to meet. She is trying to obtain the vouchers to make sure her kids don’t skip a meal. But she has been trying all week with little success. She’s had 98,000 other applicants in the queue ahead of her, the help line costs up to £60 per hour, and the wait online is eating up her data.",Intentional and Unintentional Sludge
"It’s impossible to deny: artificial intelligence is becoming
more and more powerful, while requiring less and less human supervision. Powerful,
independent AIs not only perform routine tasks independently but now make difficult
ethical decisions all on their own.",Why We Should Crowdsource AI Ethics (and How to Do So Responsibly)
"I stared at the Thanksgiving turkey on my
plate in awkward silence, embarrassed to have brought this disaster into my
grandparents’ house. The rest of my family studiously ignored the situation and
focused instead on finishing their meal, pushing the remnants of mashed
potatoes, carrots, and green beans around their plates. The sole conversation
was a severely heated political argument between my extremely liberal boyfriend
at the time and my slightly-right-of-center father—an argument so inane that I
can’t even remember what it was about. All I had wanted was a peaceful meal
surrounded by the family I get to see only twice a year; instead, chaos swirled
around us and tension permeated the rest of the night.","Conversations on Polarizing Topics Are Possible. If You’re Up for It, Here’s How to Start"
Routine confrontation of other men may be the ,The Hardest Part of Being an Ally
We began the year in an optimistic mood by ,Most Read Articles of 2020
"The first American astronauts were recruited from the ranks of test pilots, largely due to convenience. As Tom Wolfe describes in his incredible book ",What to Do When Algorithms Rule
The Psych Report,Scarcity: Why Having Too Little Means So Much
This Op-ed originally appeared on ,Why I Love TED
The Psych Report,TED All-Stars: Q&A with Barry Schwartz
The Psych Report,Show Me the Meaning! A Review of Barry Schwartz’s Why We Work
The Psych Report,Why Don’t People Take Free Cash?
"Algorithms have been rising fast and
saturating our modern world, from simple ones generating early credit scores in
the 1960s to deep neural networks identifying security risks such as guns or
certain blacklisted individuals in CCTV feeds. The rise of algorithms is motivated
by both operational cost savings and higher quality decisions. Human
decision-makers often are more expensive than a machine, especially when
thousands or millions of similar decisions need to be made, and we’re notoriously
fickle, inconsistent deciders.",How Algorithms Can Fight Bias Instead of Entrench It
"The #MeToo movement, which documents collective experiences of sexual harassment, has prompted an uncomfortable question: Why don’t other men speak up and stop sexual harassment?",Do You See What I See? The Importance of Men as Allies
"When African-American NFL quarterback Colin Kaepernick refused to stand for the national anthem in August 2016, ",Looking for Similarities Can Bring Marginalized Groups Together
"The #MeToo movement, which documents collective experiences of sexual harassment, has prompted an uncomfortable question: Why don’t other men speak up and stop sexual harassment?",Do You See What I See? The Importance of Men as Allies
"The 2017-2018 National Football League (NFL) regular season opens with the defending champion New England Patriots taking on the Kansas City Chiefs in Foxborough, Massachusetts. Patriots fans in attendance will be treated to the unveiling of their team’s fifth Super Bowl Championship banner—more than double that of any other NFL team since the year 2000. All were won under head coach Bill Belichick.",Gridiron Grit: Angela Duckworth on Excelling in the NFL and Beyond
"“Ignorance,” wrote Charles Darwin in 1871, “more frequently
begets confidence than does knowledge.”",Epistemic Humility—Knowing Your Limits in a Pandemic
"Global concern about novel coronavirus, or COVID-19, is at its highest level yet. The World Health Organization is warning that countries should “",Handwashing Can Stop a Virus—So Why Don’t We Do It?
In this weekend’s ,Sudden-Death Aversion
"This week the Cleveland Browns will decide which, if any, of the top quarterback prospects to acquire with the first pick in the NFL draft. There are four leading contenders, and the team has been evaluating them in detail for more than a year. They will pay the young man over $30 million, and his success or failure will drive the team’s fortunes for years. No pressure. Never mind the sobering ",How to Identify Talent: Five Lessons from the NFL Draft
"After just three games this season, Phoenix Suns head coach Earl Watson had the unpleasant honor of ending the NBA’s 533-day streak of no coaches being fired. It was a record-setting period. Except for last season, at least one NBA coach has been fired in the middle of the season for the past 46 years (and a whopping 12 coaches were fired in 2016 alone). More often than not, it’s because the team is losing. That was true for Watson, whose Suns suffered three defeats before he was cut loose.",The Blame Game: How Outcome Bias Fools NBA Coaches (and Their Bosses)
The Psych Report,An Olympic State of Mind: Q&A with US Olympic Team Sports Psychologist Karen Cogan
Jaime attended the same undergraduate institution as both of the authors. When Larry Happel wrote about ,Help Students Navigate Life’s Transitions With a Mindset GPS
"On Thursday the 2018 FIFA World Cup, a monthlong competition featuring men’s soccer teams from 32 nations, kicks off when the hosts, Russia, face Saudi Arabia. The World Cup, which happens every four years, attracts many people who would not ordinarily consider themselves soccer fans. The 2014 World Cup final, between Argentina and eventual winners Germany, ",A Behavioral Scientist’s Guide to (Not) Betting on the 2018 World Cup
"This year’s FIFA World Cup was nothing short of spectacular. Goals, upsets, and late drama made it one of the best tournaments in recent memory. Not even ",How Soccer’s Video Assistant Referee (VAR) Influences Belief in Human Referees’ Competence
"“When twelve-year-old Linda arrived at the third level of her videogame, her father exclaimed, ‘You’re great! You have perfect coordination! You’re an expert player.’ Linda lost interest and walked away. Her father’s praise made it difficult for her to continue because she said to herself, ‘Dad thinks I’m a great player, but I’m no expert. I made the third level by luck. If I try again, I may not even make the second level. It is better to quit while I’m ahead.’”  –  Haim Ginott, Alice Ginott, and Wallace Goddard, ",The Praise Paradox
In September 2018 the American Pediatric Association released a powerful ,Making Play a Habit
The ,Writing to Persuade: Insights from Former New York Times Op-Ed Editor Trish Hall
"In a recent phone
call, a friend and I chatted about our first week at home during the coronavirus
lockdown. She, along with many of us, finds the transition challenging. Since
moving to a work-from-home setup, her job—which typically involves daily
in-person interactions—has shifted to mostly email or Zoom communication. Her
positive and productive work relationships were suddenly feeling strained and unfamiliar.",Increasing Social Connection While “Social Distancing”
"“Who do you think is going to win? What
will happen if Trump wins? What about if Biden wins? Will people get mad? When
will we know? Are there any Cheerios left?” The morning after the election, my
(Yael) ten-year-old hurled questions hard and fast. Uncertain and worried
myself, I wrestled with how to respond. Now, the election is over, but the
hard-flying questions aren’t.",Helping Our Kids (and Ourselves) Navigate a Complicated Post-Election Season
"Taxpayers increasingly scrutinize how public money is spent. Such scrutiny makes sense: taxpayers expect government administrators to ensure their decisions are effective. For policymakers, then, it’s important to collect evidence of “what works” to show that effectiveness, and they’re increasingly turning to experimental trials to evaluate programs. But this fervor for evidence-based policy carries its own risks, because even evidence from past work doesn’t guarantee that everything will work and that governments can achieve all their objectives.","When Expectations Fail, Keep Testing"
"Of the many ways that cities try to get drivers to reduce their speed, traditional iterations of the “Slow Down” sign like the ones above may be the most useless, and borderline harmful. These signs often display a disregard for basic wayfinding and legibility, and rely on overly complicated messaging. They’re usually initiated by councillors or mayors eager to allay their constituents frustrations about speeding. And from tiny towns, like ",Slowing Down To Design a Better Sign
"As someone who became an economist via a brief career as a lawyer, I did notice that my kind had privileged access to the halls of government and business. Whether this was because economics can speak the language of dollars, or that we simply claimed that we had all the answers, the economists were often the first consulted (though not necessarily listened to) on how we priced, regulated, and designed our policies, services, and products.",When Everything Looks Like a Nail: Building Better “Behavioral Economics” Teams
"Shelby first hears about the disease on Twitter. Journalists are saying that people in the small American town of Mayberry, just 10 miles from Shelby, are catching what they’re now calling “Mayberry fever.” It appears to be deadly.",Why Governments Should Treat Cybersecurity the Way They Do Infectious Diseases
The Psych Report,Psychology’s Role In Addressing Environmental Problems
"Andrew Jackson, the seventh president of the United States, was born and raised in the Carolinas. He practiced law in the western part of North Carolina, which later would become part of Tennessee. His work as a fron­tier lawyer helped him rise politically, eventually being elected as a representative of Tennessee to the new U.S. Congress—a shining example of a common man rising above his inherited station in life to the high­est levels of social influence.",What Does It Mean to Be a Patriot?
The Psych Report,The Healthy Society in Fifty Years
We talk a lot about how Americans don’t have enough savings. Bankrate ,Hourly Employees Need Reliable Schedules: Can Behavioral Science Help Companies Deliver?
"Imagine. It’s 8am. You’re in the back of a 6th grade science classroom. The students are sitting up tall in their chairs, their eyes gently closed. The teacher walks slowly around the room and guides them through a breathing exercise. “As you breathe, you may notice your attention drifting to thoughts that come into your head, distracting you from your breath… Treat these thoughts like trains coming into a station… Simply let them pass through, returning your attention to your breath…”",The Mindful Student
"Reactions to political correctness
vary widely. U.S. Housing and Urban Development Secretary Ben Carson recently
said, “This whole concept of political correctness … is going to destroy our
nation.” In contrast, left-wing comedian Michael Ian Black recently defended
political correctness, saying it is “fantastic for comedians,” as it makes them
think harder and helps to prevent harm being done to groups and individuals.",Reactions to Political Correctness Are Not Inherently Partisan
"With massive wildfires terrorizing the West Coast and communities along the Gulf and Caribbean bracing for peak hurricane season, Americans once again have natural disasters on their minds. As many families continue to grapple with the historic destruction seen in 2017—during which extreme weather events caused a record ",The Way We Process Risks Can Keep Us in Harm’s Way
"The killing of George Floyd in Minneapolis set off a wave of protests against police violence across the United States and around the world. Thousands of people, in cities large and small, have called for equality, demanded change, and emphasized that black lives matter.  ","Selected Links: Police Violence, Protests, and Racial Injustice"
"Of the many things to worry about in these vexing times, one of the most powerful yet invisible is the psychological effect that our leaders have on us.",What Our Politicians and Pundits Need to Know About Leadership
"If you were trying to picture a Misinformation Spreader, your first step probably wouldn’t be to look in the mirror. But in ","Why We’re All Likely Spreading Misinformation, and How to Stop"
"“No one has ever doubted that truth and politics are on rather bad terms with each other,” observed political theorist Hannah Arendt in 1961. The political events of the last few years haven’t exactly put truth and politics on better terms. From accusations of dishonesty during the Brexit campaign and the U.S. presidential election to ongoing concerns about “fake news” and “alternative facts,” it can be hard for citizens to separate fact from fiction.",When We Don’t Find Lying Immoral
"If you live in the United States and I ask you what’s on your mind politically, what might you say?",Democracy From the Sidelines: How U.S. Politics Became a Spectator Sport
"Michele
Gelfand is Professor of Psychology at the University of Maryland and author of
an eye-opening new book on the role that culture—and specifically how strictly
different cultures enforce norms—plays in our lives. The book,",Tight and Loose Cultures: A Conversation with Michele Gelfand
"One of the basic lessons of the behavioral science research is that you can have very big effects from small changes. Often, we think if we’ve got a big problem, we need a big solution. Actually, you can find a very big solution in something quite small.",Paul Dolan: Designing for Workplace Well-being
"There’s a perpetual thought bubble hanging over your head: Should I go to graduate school? Over and over again the question pops into your head. You imagine different counterfactual scenarios, each with a new cast of advisors and graduate students, in this city or that. Somehow the weather always feels particularly important—I love the school, but I am not sure if I could survive a polar vortex!—","Ask a Behavioral Scientist: So, You’re Thinking About Getting a Ph.D."
The Psych Report,Immigration: The Disconnect Between Perception and Policy
", Guardian",How Much Does Our Language Determine Behavior?
"In 1846 Ignaz Semmelweis, a Hungarian physician, took a post
in the first obstetrical clinic of the Vienna General Hospital. He soon noticed
a troubling pattern. The hospital’s two clinics provided free care for poor
women if they were willing to be treated by students—doctors in the first
clinic, where Semmelweis was stationed, and midwives in the second. But things
were not going well in the first clinic.",How Misinformation Can Spread Among Scientists
"Every year, right around this time, we find
ourselves asking the same question: Why are we Americans so enamored, maybe
even obsessed, with American flag clothing?",What’s the Deal with American Flag Fashion?
The Psych Report,Metaphors of the Union: Language in the State of the Union Address
The Psych Report,Global Sustainability Through a Social Psychological Lens: Climate Change Research at SPSP 2014
"Behavioral scientists take pride in the interdisciplinary nature of our research, yet we rarely draw on accounts of human nature generated outside of the social sciences. Just like Horatio, we could benefit from taking Hamlet’s advice to look beyond our usual frame of reference.",A Tale of Two Systems: What Can Behavioral Science Learn From Literature?
"A small revolution is brewing on the internet. From baking and makeup artistry to chess and poker, and every flavor of video game imaginable, online communities have started unlocking the secrets for getting good, fast.",Expertise in the Age of YouTube
The Psych Report,Set to Solve: How Emphasizing Problem Setting can Solve Problems in Washington
"As the refugee crisis unfolded in Europe, the leader of Poland’s anti-immigrant Law and Justice party, Jaroslaw Kaczynski, warned that letting in people fleeing war-torn countries in the Middle East would ",How the Behavioral Immune System Influences Attitudes Toward Immigration
"The climate challenge is huge, messy and not susceptible to a single fix.  Despite that, the policy focus has been on big silver bullet solutions. Big responses are necessary—we need solid, comprehensive legislation and a robust functioning international agreement. But, for a unique challenge so intertwined with every part of every human’s life, a reality confirmed by the ","Climate Change Requires Silver Buckshot, Not a Silver Bullet"
"“The social body to which we belong is at this moment
passing through one of the greatest crises of its history, a colossal process
which may be likened to a birth. We have each of us a share in this process, we
are to a greater or less extent responsible for its course. To make our judgments,
we must have reports from other parts of the social body; we must know what our
fellow-men, in all classes of society, in all parts of the world, are
suffering, planning, doing. There arise emergencies which require swift
decisions, under penalty of frightful waste and suffering. What if the nerves
upon which we depend for knowledge of this social body should give us false
reports of its condition?”",When the Nerves of Knowledge Send False Signals: A Conversation on Our Age of  Misinformation
"When we tell ourselves we can’t do
something, it might just be that we are seeing something as more challenging
than it really is. When we say that what we’re up against is the impossible, it
might not appear that way to someone else—and it doesn’t have to look that way
to us. Our eyes are incredible tools for shaping our experience. With them, we
can quite literally see a new way forward.",Eyes on the Prize: Understanding the Links Between Perception and Motivation
The Psych Report,Thinking Appropriately About Climate Change
Say you are a public health official ,Registered Reports Remove Pressure on Researchers to Get the “Right” Results
"Technological
advancements have expanded the scope of online research studies. Given their
ability to help researchers reach thousands of geographically diverse samples
relatively quickly, these online research methods have gained significant traction,
reducing the cost
and time of research.",How to Battle the Bots Wrecking Your Online Study
The Psych Report,Martin Luther King Jr.’s Call for Social Science in the Civil Rights Movement
The Psych Report,Science to SPARQ Change: Stanford’s New Psychology Solutions Center
The Psych Report,ideas42 Sets Out to Help End Poverty Through Behavioral Interventions
The Psych Report,You Can’t Ape It: Art Outsiders Can Tell The Difference Between Abstract Art and Finger Paintings
The Psych Report,Teachers Like You Like You: How Finding Common Ground Could Help Close the Achievement Gap
The Psych Report,NPR Launches New Podcast Exploring the ‘Hidden Brain’
The Psych Report,New Journal Helps Behavioral Scientists Find Their Way to Washington
The “finding” from outside psychology that most influenced me—indeed it essentially shaped my entire career—was not so much a “finding” as an argument.,Barry Schwartz: The Idea that Shaped My Career
The Psych Report,High CEO Pay Can Push Consumers Away
This article was originally published on The Psych Report before it became part of the Behavioral Scientist in 2017.,How Delta Masters the Game of Overbooking Flights
"Listen to your elders, they say. Well, I
wasn’t sure what to think when as a seven-year-old I sat in the kitchen and
listened to my grandpa. On the table in front of us was a big bag of assorted
candy. He polished them all off, piece after piece. “Does Mom know about this?”
I sat there wondering. As though sensing my disbelief, he explained with a
slightly defensive but definitive tone, “I have a sweet tooth.” I was
perplexed. Was a sweet tooth something you “had”? Was it permanent? Did I have
one?","Are You Hitting Your Limit, or Getting Stronger? The Power of Reinterpreting Mental Effort"
"Emily Roebling was a daily
presence on-site as the Brooklyn Bridge grew from an idea into the eighth
wonder of the world. At first, she relayed her bedridden husband’s messages. He
was, after all, the chief engineer. But as the 14-year project progressed,
Emily would tackle more and more of the issues herself. If it weren’t for Emily
Roebling, the Brooklyn Bridge would not be standing today.  ",What Do Engineers and Behavioral Scientists Have to Learn From Each Other?
"In 1846 Ignaz Semmelweis, a Hungarian physician, took a post
in the first obstetrical clinic of the Vienna General Hospital. He soon noticed
a troubling pattern. The hospital’s two clinics provided free care for poor
women if they were willing to be treated by students—doctors in the first
clinic, where Semmelweis was stationed, and midwives in the second. But things
were not going well in the first clinic.",How Misinformation Can Spread Among Scientists
Medium,Record Numbers of Americans Recognize Racism as a Problem. What Could the Solution Be Like?
"Since President Donald Trump’s election, countless news stories have touted massive increases in civic engagement. We’ve read that Trump is “",The Myth of Civic Engagement During Trump’s Presidency
"Voting is a hallmark of representative democracies worldwide. It is among the most important forms of civic engagement and decides the future of a country. The flu shot is an important preventative health measure that reduces the chances of catching and spreading the flu. Totally different behaviors, right? Not so much. From a behavioral perspective, the two are pretty similar. And taking a closer look at how they’re similar is a useful way to find new intervention strategies.",What Voting and Flu Shots Have in Common
The Psych Report,Textbook of the Future?
The Psych Report,The Rejected Student Who Didn’t Complain
"Anyone who has endured a college reunion knows that there’s a melancholy side to milestones. Marking time has a way of bringing to mind those missing from the celebration, so that every heady ",Pour One Out for Nudge’s Forgotten Peers
The Psych Report,Haven’t Finished Your Taxes? Planning Prompts Help Turn Intention into Action
"In 2011, Stuart Ritchie learned that undergraduate students have psychic powers.",Overcoming Science Fictions: Stuart Ritchie on Living Up to the Ideals of the Scientific Process
"Political polarization in the United States was once defined by ideological disagreement. Now, this ideological division has been fused with an ","The Divide Between Political Parties Feels Big. Fortunately, It’s Smaller Than We Think."
"We’ve all
seen the pyramid.",Self-actualizing in the 21st Century: A Q&A with Scott Barry Kaufman
"Tim Harford, better known to some as the ",Fifty Ways to Leave Your Economy Fundamentally Transformed
" — Jay Van Bavel, associate professor of psychology at New York University",Four Things I Learned About Behavior Change During a Pandemic from Katy Milkman and Jay Van Bavel
"The wider world generally thinks that Burning
Man—a 70,000-person temporary,
art-filled, participatory society in the desert—is a place
where there are no market forces, no regulation, and people just spend a week
in the desert gifting (and partying), but this year I came to understand that
this is not the case. Burning Man is a society that carries many of the same
rules as our current society but with some important twists.",Keeping Up with the Joneses at Burning Man—for the Collective Benefit
Vaccinating kids saves ,The 50-state Laboratory: How Can Behavioral Science Bolster Vaccination Policy?
"You are not alone in your reluctance to do things alone! It is very common for people to worry that if they were to do leisure activities on their own, other people would think they don’t have friends. These concerns lead people to forego activities, such as going to movies or concerts, that could in fact be quite enjoyable. ","Fear of Flying Solo? Don’t Panic, There Are Benefits to Venturing Out Alone"
With one ,Building a Culture of Voting Through Choice Architecture
The Psych Report,Informal Biases Impede Women and Minorities at “Pathways“ Leading into Academia
The Psych Report,The End of Nature Versus Nurture
"Who’s your favorite sociologist? Unless you majored in sociology, chances are that this question leaves you at a loss. Meanwhile, behavioral economists and psychologists are becoming household names, dominating editorial pages and best-seller lists, and exerting significant influence on policy. As a ",Bringing Sociology Back
The Psych Report,NIH Requests $4.5 Billion For White House BRAIN Initiative
"Among the very worst scientific fraud cases was one that not only misled scientists and doctors, but also had an enormous impact on the public perception of a vitally important medical treatment. It caused so much fear and confusion that even though it occurred more than two decades ago, we still live with its noxious effects today.",How Fraud and a Broken Publishing System Fueled the Vaccine-Autism Myth
"In 2007, a year before Cass Sunstein published ",Nudge Turns 10: A Q&A With Cass Sunstein
The Psych Report,MIT Crowdsources the Next Great (free) IQ Test
"Our second special issue originates in the “deviant” thoughts of an economics graduate student. As this self-described lazy, unimpressive student worked on his thesis in the early 1970s, he began to discover the myriad ways that human behavior was inconsistent with economic theory. Broadcasting these ideas, he knew, could amount to academic treason. And yet, he couldn’t shake the idea that the disconnection between theory and behavior was critical.",Nudge Turns 10: A Special Issue on Behavioral Science in Public Policy
We are a new online magazine with a unique mission in today’s media landscape: make the valuable insights gathered from behavioral science accessible and useful to society.,Welcome to the Behavioral Scientist
The Psych Report,"A Lawyer, an Economist, a Marketer, and a Behavioral Scientist Go into a Bar…"
The Psych Report,How Do We Solve the Last Mile?
"The country is opening up. There is much debate about whether it’s premature. We’ll see, won’t we. There is also debate about wearing masks (when and where) and social distancing (how many people is too many; how far apart should they be). Some of this debate is about what the science tells us. But some of it is ideological: how much can the government tell us about what to do with our bodies and who to do it with. Commitments to individual liberty clash with concerns about safety; freedom clashes with responsibility. How should we as a society respond to this challenge?","Secondhand Smoke, Moral Sanctions, and How We Should Respond to COVID-19"
The coronavirus pandemic has spurred unprecedented efforts to find a vaccine. ,Challenges Facing a COVID-19 Vaccine: A Behavioral Science Perspective
"We are in the middle of a global pandemic, one that has ",Dispatches from the Behavioral Scientists Fighting Coronavirus in the Global South
"COVID-19 has
disrupted the usually unnoticed chunks into which the world is organized. Take,
for example, the uneasy start of the new school year. All of the familiar ways
in which schools segment and structure life—the self-contained classrooms, the
contiguous time blocks spent at school, the on-site lunches and after-school
activities—have been scrambled or scrapped. Students, teachers, and parents are
struggling to adjust.","To Solve COVID-19, We Need to See It for What It Is: A Configuration Crisis"
The stress of uncertain pain outsizes the stress of certain pain. These were the results of a ,How Practical Wisdom Helps Us Cope with Radical Uncertainty
I wasn’t always convinced that behavioral insights could usefully be applied outside the context of a randomized controlled trial (RCT).,Applying Behavioral Science Upstream in the Policy Design Process
A few years before ,Choice Architecture 2.0: How People Interpret and Make Sense of Nudges
"Nudging has rightfully earned its place in public policy as an effective, efficient, and relatively low-cost lever for addressing knotty challenges grounded in very human “irrational” behavior: Which message encourages citizens to get out the vote or pay their taxes on time? What mix of social norms, commitment devices, and prompts increases medication adherence? These kinds of behavioral interventions are primarily designed to achieve efficiency and cost savings within current processes and structures, through solutions to known, discrete behavioral challenges. Think of it as process improvement, nudge-style.",A New Model for Integrating Behavioral Science and Design
The environments children experience ,Helping Parents Follow Through
"Shelby first hears about the disease on Twitter. Journalists are saying that people in the small American town of Mayberry, just 10 miles from Shelby, are catching what they’re now calling “Mayberry fever.” It appears to be deadly.",Why Governments Should Treat Cybersecurity the Way They Do Infectious Diseases
"For the past decade, most of the work applying behavioral science to government has focused on influencing citizens. And yet policymakers are also affected by the same cognitive biases that they seek to address in others. Does that mean that their decisions are also flawed?",Why Governments Need to Nudge Themselves
The past decade has shown just how powerful behavioral science can be in changing human behavior.,Nudges Alone Won’t Save Nemo: Conservation in the Great Barrier Reef
"For most of my life, I’ve been mystified by the strange behaviors of some extended family members. There’s the Thermostat Commander, who went to a shiva at a stranger’s house and took it upon herself to turn up the temperature a few degrees. The Accoster, who cornered unwitting relatives every Thanksgiving dinner and talked our ears off for hours, not noticing that we weren’t exactly … interested. And lately, the Mundane Poster, who has mastered the “me right now” Facebook status update. I’m really sorry, but I just don’t care that you dropped a chip in the dip.",Adam Grant: Understanding People Who Aren’t Like You
"The novel coronavirus, or COVID-19, was declared a pandemic by the World Health Organization on March 11th. Health care professionals, scientists, and policymakers are racing against the clock to slow the spread of the disease.","Selected Links: The Behavioral Side of the Coronavirus (Updated: April 20, 2020)"
"The evidence showing that applied behavioral science is a powerful tool for creating social good is growing rapidly. As a result, it’s become much more common for the world’s problem solvers to apply a behavioral lens to their work. Yet this approach can still feel distant to the people trying urgently to improve lives on a daily basis—those working for governments, nonprofits, and other organizations that directly tackle some of the most challenging and pervasive problems facing us today.",Shouldn’t We Make It Easy to Use Behavioral Science for Good?
"Imagine that a company with 20 employees asks you to create a nudge to reduce the amount of paper it uses. After some analysis of the company’s processes, you conclude that one of the reasons why the company is spending too much on paper is that most employees are printing single, rather than double-sided. When you ask employees why, they say that they simply forget; in fact, this is not an issue they think much about. This seems a perfect situation for a nudge, a little push at the moment of the decision that will influence people to print double-sided, benefitting both the company and the environment.",RCTs Are Not (Always) the Answer
"Imagine that a company with 20 employees asks you to create a nudge to reduce the amount of paper it uses. After some analysis of the company’s processes, you conclude that one of the reasons why the company is spending too much on paper is that most employees are printing single, rather than double-sided. When you ask employees why, they say that they simply forget; in fact, this is not an issue they think much about. This seems a perfect situation for a nudge, a little push at the moment of the decision that will influence people to print double-sided, benefitting both the company and the environment.",RCTs Are Not (Always) the Answer
